gid,shape_leng,fnode_,tnode_,name,roadtype,froadname,troadname,fnodex,fnodey,tnodex,tnodey,subsections,subsections2,length,code,code2,arcid,northangle,direction,lanenum,distric,jtl,lanenum_same,lanenum_op,fnode_tnode,comsituation,roadlevel,roadlayer,geom,speed,haskk,region,roadatt,drivedir,bigroadid,fn1,roadlevel_temp,build,edit_time,midnodex,midnodey,roadlevel_label,cll,funclevel,rdlv,arrows,floor,carnum,zdlx,northangle_f,direction_f,cdlc,pcsid,ssfj,roadkind
2113,,34180200005630,34180200000221,昭亭中路,6,无名路,宛陵西路,118.739477,30.961576,118.738704,30.954726,,,765.06,,,34180200650,188.00,南,3,341802,1,4,,34180200005630_34180200000221,,03,1,"MULTILINESTRING ((118.739476902501 30.9615759925176, 118.739466889916 30.9613759445116, 118.739436927074 30.9610859520208, 118.739386944109 30.9606559476909, 118.739366919273 30.9604059661735, 118.739346943561 30.9601760112874, 118.739306944091 30.9599559787565, 118.739296917141 30.959835949893, 118.7392668975 30.9597160097407, 118.739206868865 30.9593669714003, 118.739146914762 30.95894693428, 118.739096940461 30.958626989541, 118.738946877631 30.9573069358966, 118.738846912341 30.9564579321393, 118.738836851668 30.956387971913, 118.738756920201 30.9557779436376, 118.738756928858 30.9557379790894, 118.738606887652 30.9547189653915))",60.00,,,,99,,,,,,118.739043,30.958149,03,,3,2,,1,,,185.00,南,2515.71,341802000000,341802,0
2186,,34180200005645,34180200005641,昭亭中路,6,无名路,无名路,118.740077,30.965314,118.740168,30.966083,,,85.72,,,34180203133,5.00,北,3,341802,1,3,,34180200005645_34180200005641,,03,1,"MULTILINESTRING ((118.740076915215 30.9653140089211, 118.740137923758 30.9657339406228, 118.740167914248 30.9660829316059))",60.00,,,,99,,,,,,118.740133,30.965697,03,,3,2,,1,,,8.00,北,262.5,341802000000,341802,0
7593,,34180200000221,34180200003854,昭亭中路,6,宛陵西路,陶然路,118.738704,30.954726,118.739427,30.959936,,,577.66,,,34180200646,10.00,北,3,341802,1,3,,34180200000221_34180200003854,,03,1,"MULTILINESTRING ((118.73875688203 30.954758986391, 118.738876917962 30.9557279745226, 118.738876938896 30.9557580152237, 118.738956946223 30.9563779658343, 118.738966903963 30.9564480176477, 118.739066868661 30.9572969310828, 118.739216856313 30.958606971906, 118.739326862422 30.9593569662522, 118.739386947149 30.9596859764635, 118.739416911268 30.9598259446402, 118.739426861538 30.9599359608697))",60.00,,,,99,,,,,,118.739073,30.95735,03,,3,2,,1,,,7.00,北,1770.49,341802000000,341802,0
6825,,34180200000185,34180200000221,昭亭中路,6,文鼎路,宛陵西路,118.738311,30.951815,118.738704,30.954726,,,322.33,,,34180200478,9.00,北,3,341802,1,4,,34180200000185_34180200000221,,03,1,"MULTILINESTRING ((118.73837593313 30.9518099905598, 118.738475930204 30.9525400038015, 118.738485888514 30.9527199353896, 118.738505898126 30.9529000023783, 118.738525879416 30.9531189516291, 118.738595878835 30.9536490046861, 118.738656910971 30.9541289295641, 118.738746896754 30.9546989485701))",60.00,,,,99,,,,,,118.738544,30.953256,03,,3,2,,1,,,8.00,北,1024.77,341802000000,341802,0
13612,,34180200000170,34180200005645,昭亭中路,6,敬亭路,无名路,118.739742,30.963130,118.740077,30.965314,,,237.36,,,34180200398,7.00,北,3,341802,1,3,,34180200000170_34180200005645,,03,1,"MULTILINESTRING ((118.739816887501 30.9631849652432, 118.739856908476 30.9635849721829, 118.739956887827 30.9643240040425, 118.740036876378 30.9649939311614, 118.740076915215 30.9653140089211))",60.00,,,,99,,,,,,118.739947,30.964249,03,,3,2,,1,,,6.00,北,804.7,341802000000,341802,0
4664,,34180200000170,34180200005630,昭亭中路,6,敬亭路,无名路,118.739742,30.963130,118.739477,30.961576,,,167.17,,,34180200399,187.00,南,3,341802,1,3,,34180200000170_34180200005630,,03,1,"MULTILINESTRING ((118.739666866213 30.9630749408864, 118.739476902501 30.9615759925176))",60.00,,,,99,,,,,,118.739572,30.962325,03,,3,2,,1,,,187.00,南,576.94,341802000000,341802,0
9991,,34180200005517,34180200000170,昭亭中路,6,无名路,敬亭路,118.740188,30.967133,118.739742,30.963130,,,441.58,,,34180200402,188.00,南,3,341802,1,4,,34180200005517_34180200000170,,03,1,"MULTILINESTRING ((118.740187905887 30.9671330121988, 118.740107904241 30.9665029597648, 118.740047912438 30.9660929378383, 118.740047912438 30.9660929378383, 118.740017922378 30.9657439468116, 118.73995691435 30.9653240150344, 118.739916905293 30.9649940133949, 118.739836915941 30.9643239959792, 118.739736909732 30.9635949780139, 118.73967694974 30.9631749415885))",60.00,,,,99,,,,,,118.739936,30.965154,03,,3,2,,1,,,187.00,南,1417.62,341802000000,341802,0
8077,,34180200005542,34180200000170,昭亭中路,6,天平路,敬亭路,118.739597,30.961576,118.739742,30.963130,,,168.50,,,34180200403,8.00,北,4,341802,1,4,,34180200005542_34180200000170,,03,1,"MULTILINESTRING ((118.739596870967 30.9615760010443, 118.739806908488 30.9630849631483))",60.00,,,,99,,,,,,118.739702,30.96233,03,,3,2,,1,,,8.00,北,635.23,341802000000,341802,0
14979,,34180200000173,34180200005516,昭亭中路,6,水阳江北大道,昭亭中路,118.740795,30.971804,118.740698,30.971341,,,40.09,,,34180200418,186.00,南,3,341802,1,3,,34180200000173_34180200005516,,03,1,"MULTILINESTRING ((118.740737934838 30.9717009316459, 118.740697899217 30.9713409803411))",60.00,,,,99,,,,,,118.740718,30.971521,03,,3,2,,1,,,186.00,南,196.27,341802000000,341802,0
12804,,34180200000191,34180200000173,昭亭中路,6,广教路,水阳江北大道,118.740411,30.967538,118.740795,30.971804,,,469.11,,,34180200422,7.00,北,4,341802,1,4,,34180200000191_34180200000173,,03,1,"MULTILINESTRING ((118.740367942656 30.9675929283464, 118.740407871737 30.9679529716591, 118.740507881917 30.9688719768642, 118.74054795062 30.9691819499732, 118.740597938653 30.9695019834541, 118.740697938816 30.9703509831266, 118.74079793735 30.9711709340385, 118.740807870883 30.9712509994553, 118.740877948956 30.9718009852939))",60.00,,,,99,,,,,,118.740621,30.969697,03,,3,2,,1,,,6.00,北,1852.39,341802000000,341802,0
