gid,shape_leng,fnode_,tnode_,name,roadtype,froadname,troadname,fnodex,fnodey,tnodex,tnodey,subsections,subsections2,length,code,code2,arcid,northangle,direction,lanenum,distric,jtl,lanenum_same,lanenum_op,fnode_tnode,comsituation,roadlevel,roadlayer,geom,speed,haskk,region,roadatt,drivedir,bigroadid,fn1,roadlevel_temp,build,edit_time,midnodex,midnodey,roadlevel_label,cll,funclevel,rdlv,arrows,floor,carnum,zdlx,northangle_f,direction_f,cdlc,pcsid,ssfj,roadkind
1903,,34180200000375,34180200000137,梅园路,6,九同路,梅园路,118.743602,30.940518,118.740592,30.941095,,,282.42,,,34180200273,282.00,西,2,341802,1,2,,34180200000375_34180200000137,,06,1,"MULTILINESTRING ((118.743594939049 30.9405649676273, 118.742564905314 30.9407749829612, 118.741954888751 30.9409049941185, 118.741574875252 30.9409749787382, 118.741274878416 30.9410249394386, 118.740814951066 30.9411149432753, 118.740714943135 30.941134964421))",60.00,,,,99,,,,,,118.742157,30.940862,06,,5,4,,1,,,283.00,西,607.0,341802000000,341802,0
7199,,34180200000072,34180200000196,梅园路,6,梅园路,Ｓ３２２,118.738460,30.941530,118.737442,30.941725,,,93.90,,,34180200222,282.00,西,3,341802,1,3,,34180200000072_34180200000196,,06,1,"MULTILINESTRING ((118.738464930308 30.941574998099, 118.738414872685 30.9415849633974, 118.737904911453 30.941674998482, 118.73750487263 30.9417549835795))",60.00,,,,99,,,,,,118.737984,30.941661,06,,5,4,,1,,,281.00,西,264.9,341802000000,341802,0
1075,,34180200000072,34180200000661,梅园路,6,梅园路,无名路,118.738460,30.941530,118.738660,30.941490,,,19.62,,,34180200223,102.00,东,2,341802,1,2,,34180200000072_34180200000661,,06,1,"MULTILINESTRING ((118.738454928064 30.9414850095022, 118.738654945722 30.9414449705731))",60.00,,,,99,,,,,,118.738555,30.941465,06,,5,4,,1,,,102.00,东,51.37,341802000000,341802,0
9523,,34180200000661,34180200000072,梅园路,6,无名路,梅园路,118.738660,30.941490,118.738460,30.941530,,,19.62,,,34180200224,282.00,西,2,341802,1,2,,34180200000661_34180200000072,,06,1,"MULTILINESTRING ((118.738664948148 30.9415349591481, 118.738464930308 30.941574998099))",60.00,,,,99,,,,,,118.738565,30.941555,06,,5,4,,1,,,282.00,西,71.78,341802000000,341802,0
7663,,34180200000196,34180200000072,梅园路,6,Ｓ３２２,梅园路,118.737442,30.941725,118.738460,30.941530,,,92.98,,,34180200225,101.00,东,2,341802,1,2,,34180200000196_34180200000072,,06,1,"MULTILINESTRING ((118.737504918063 30.9416649500246, 118.737874919125 30.9415850079904, 118.738384879917 30.9414949730399, 118.738454928064 30.9414850095022))",60.00,,,,99,,,,,,118.737978,30.941567,06,,5,4,,1,,,103.00,东,241.92,341802000000,341802,0
13582,,34180200000137,34180200000375,梅园路,6,梅园路,九同路,118.740592,30.941095,118.743602,30.940518,,,289.85,,,34180200271,102.00,东,2,341802,1,3,,34180200000137_34180200000375,,06,1,"MULTILINESTRING ((118.740584940509 30.9410649957108, 118.740694890493 30.9410449309781, 118.740784851609 30.9410249549573, 118.741244855468 30.9409449638814, 118.741564870195 30.9408849904815, 118.74192489295 30.9408150046908, 118.742534881396 30.9406950077384, 118.742884854288 30.9406249743728, 118.743544896546 30.9404950057483))",60.00,,,,99,,,,,,118.742066,30.940787,06,,5,4,,1,,,101.00,东,667.89,341802000000,341802,0
10714,,34180200000137,34180200000661,梅园路,6,梅园路,无名路,118.740592,30.941095,118.738660,30.941490,,,200.87,,,34180200272,282.00,西,2,341802,1,2,,34180200000137_34180200000661,,06,1,"MULTILINESTRING ((118.740714943135 30.941134964421, 118.740554935912 30.9411649952858, 118.740364861884 30.9412049934418, 118.739604905866 30.9413549650467, 118.739424907325 30.9413849929675, 118.738664948148 30.9415349591481))",60.00,,,,99,,,,,,118.739691,30.941338,06,,5,4,,1,,,282.00,西,405.92,341802000000,341802,0
8416,,34180200000661,34180200000137,梅园路,6,无名路,梅园路,118.738660,30.941490,118.740592,30.941095,,,178.45,,,34180200274,103.00,东,2,341802,1,2,,34180200000661_34180200000137,,06,1,"MULTILINESTRING ((118.738654945722 30.9414449705731, 118.73939488577 30.941305016931, 118.739594902591 30.9412649765744, 118.740334867447 30.9411150035963, 118.740474884203 30.9410849715695))",60.00,,,,99,,,,,,118.739566,30.941271,06,,5,4,,1,,,102.00,东,405.16,341802000000,341802,0
4561,,34180200000196,34180200000632,梅园路,6,Ｓ３２２,无名路,118.737442,30.941725,118.736221,30.941970,,,113.67,,,34180200534,281.00,西,2,341802,1,2,,34180200000196_34180200000632,,06,1,"MULTILINESTRING ((118.73738494909 30.9417850129602, 118.736714917712 30.9419250081884, 118.736505896003 30.9419649847055, 118.736225883558 30.9420149359316))",60.00,,,,99,,,,,,118.736807,30.941906,06,,5,4,,1,,,283.00,西,279.67,341804000000,341804,0
4336,,34180200000632,34180200000196,梅园路,6,无名路,Ｓ３２２,118.736221,30.941970,118.737442,30.941725,,,113.66,,,34180200537,102.00,东,3,341802,1,3,,34180200000632_34180200000196,,06,1,"MULTILINESTRING ((118.736215883337 30.9419249470901, 118.73647485849 30.9418750079061, 118.736684926395 30.9418350173849, 118.73737494619 30.9416949340539))",60.00,,,,99,,,,,,118.736796,30.941812,06,,5,4,,1,,,102.00,东,350.52,341804000000,341804,0
