gid,shape_leng,fnode_,tnode_,name,roadtype,froadname,troadname,fnodex,fnodey,tnodex,tnodey,subsections,subsections2,length,code,code2,arcid,northangle,direction,lanenum,distric,jtl,lanenum_same,lanenum_op,fnode_tnode,comsituation,roadlevel,roadlayer,geom,speed,haskk,region,roadatt,drivedir,bigroadid,fn1,roadlevel_temp,build,edit_time,midnodex,midnodey,roadlevel_label,cll,funclevel,rdlv,arrows,floor,carnum,zdlx,northangle_f,direction_f,cdlc,pcsid,ssfj,roadkind
6577,,-34180200000324,34180200000236,梅溪路,6,无名路,文昌路,118.708598,30.961615,118.710058,30.960987,,,147.93,,,34180200731,118.00,东,1,341802,1,1,,-34180200000324_34180200000236,,06,1,"MULTILINESTRING ((118.708519958359 30.9614069371334, 118.708819880372 30.961306983117, 118.709299887175 30.9610969307641, 118.709509957327 30.9610070048491, 118.709649928535 30.9609369511133, 118.70989990194 30.9608069829184))",60.00,,,,99,,,,,,118.70922,30.961132,06,,5,4,,1,,,109.00,东,182.97,341804000000,341804,0
382,,34180200000271,34180200000341,梅溪路,6,鸿越大道,梅溪路,118.703501,30.961665,118.706031,30.961897,,,239.07,,,34180200913,92.00,东,3,341802,1,3,,34180200000271_34180200000341,,04,1,"MULTILINESTRING ((118.703560878226 30.96171699152, 118.703880889094 30.9617870175251, 118.704760923183 30.9619369813421, 118.705320906491 30.9619969807756, 118.705930909844 30.9619969565987, 118.706030916606 30.9619869755171))",60.00,,,,99,,,,,,118.704787,30.96194,04,,3,3,,1,,,78.00,东,796.79,341804000000,341804,0
16216,,34180200000271,34180200000323,梅溪路,6,鸿越大道,梅溪路,118.703501,30.961665,118.703091,30.961792,,,35.81,,,34180200914,256.00,西,3,341802,1,3,,34180200000271_34180200000323,,04,1,"MULTILINESTRING ((118.703460868028 30.9618270179249, 118.703100930379 30.9617369484411))",60.00,,,,99,,,,,,118.703281,30.961782,04,,3,3,,1,,,256.00,西,195.36,341804000000,341804,0
2365,,34180200000023,34180200000388,梅溪路,6,宝城路辅路,景德路,118.732407,30.950601,118.734936,30.948746,,,298.12,,,34180200109,128.00,东,3,341802,1,3,,34180200000023_34180200000388,,03,1,"MULTILINESTRING ((118.732516850419 30.95057093345, 118.732536873146 30.9505610121663, 118.732666925483 30.9504709495375, 118.732766880226 30.9504009568855, 118.733006935884 30.9502409468749, 118.733396913602 30.9499610166019, 118.733396913602 30.9499610166019, 118.733516916618 30.9498709977357, 118.733716851919 30.9497209970601, 118.733896945055 30.9495909288369, 118.734225912093 30.9493409536806, 118.734385880185 30.9492209881381, 118.734445865773 30.9491809402239, 118.734645950751 30.9490220050345, 118.7348955286658 30.94883268563893))",60.00,,,,99,,,,,,118.733719,30.949719,03,,2,2,,1,,,125.00,东,975.75,341804000000,341804,0
7920,,34180200005496,34180200000193,梅溪路,6,响山路,响山路,118.754913,30.938585,118.755743,30.938312,,,81.18,,,34180200517,111.00,东,3,341802,1,3,,34180200005496_34180200000193,,03,1,"MULTILINESTRING ((118.754912923973 30.9385849720605, 118.755442923957 30.9383849895813, 118.755692877955 30.9382949900357))",60.00,,,,99,,,,,,118.755302,30.938438,03,,4,2,,1,,,112.00,东,240.92,341802000000,341802,0
2559,,34180200000207,34180200005586,梅溪路,6,状元南路,梅溪路,118.751257,30.939928,118.751564,30.939785,,,28.08,,,34180200583,111.00,东,3,341802,1,3,,34180200000207_34180200005586,,03,1,"MULTILINESTRING ((118.751293872841 30.9398849546169, 118.751563851746 30.9397849485425))",60.00,,,,99,,,,,,118.751429,30.939835,03,,4,2,,1,,,111.00,东,164.66,341802000000,341802,0
13674,,34180200000525,34180200006036,梅溪路,6,梅溪路,水阳江西大道,118.714784,30.958353,118.716439,30.957328,,,193.42,,,34180201964,119.00,东,1,341802,1,1,,34180200000525_34180200006036,,06,1,"MULTILINESTRING ((118.714718953522 30.9582479848997, 118.716438951917 30.957327971984))",50.00,,,,99,,,,,,118.715579,30.957788,06,,5,4,,1,,,119.00,东,203.12,341804000000,341804,0
322,,34180200000388,34180200005636,梅溪路,6,景德路,无名路,118.734936,30.948746,118.736056,30.947952,,,135.72,,,34180201411,129.00,东,3,341802,1,3,,34180200000388_34180200005636,,03,1,"MULTILINESTRING ((118.73499234790528 30.9487629757865, 118.735415861794 30.9484519843926, 118.735595875484 30.9483119914892, 118.735985892561 30.9480119355891, 118.736055879285 30.947951995885))",60.00,,,,99,,,,,,118.735529,30.948364,03,,2,2,,1,,,127.00,东,437.38,341804000000,341804,0
7633,,34180200000324,34180200000236,梅溪路,6,无名路,文昌路,118.708598,30.961615,118.710058,30.960987,,,155.31,,,34180200734,117.00,东,3,341802,1,3,,34180200000324_34180200000236,,04,1,"MULTILINESTRING ((118.708589953572 30.9615869803057, 118.708999919208 30.9614469590276, 118.709319928613 30.9613169676044, 118.709589865812 30.9611969300079, 118.709809880189 30.9611069622347, 118.710049907895 30.9609769449412))",60.00,,,,99,,,,,,118.709332,30.961311,04,,3,3,,1,,,110.00,东,498.98,341804000000,341804,0
12731,,34180200005467,34180200005649,梅溪路,6,梅溪路,状元南路,118.750324,30.940275,118.750894,30.939975,,,67.02,,,34180202963,113.00,东,1,341802,1,1,,34180200005467_34180200005649,,06,1,"MULTILINESTRING ((118.750323872881 30.9402750048588, 118.750343869774 30.9401949856683, 118.750893932574 30.9399749930874))",50.00,,,,99,,,,,,118.750581,30.9401,06,,5,4,,1,,,119.00,东,68.48,341802000000,341802,0
